Time(s),Angle(deg)
24.25,-23.217849598473464
24.291666666666668,-23.54536638395325
24.333333333333332,-23.48689290856484
24.375,-23.48689290856484
24.416666666666668,-23.48689290856484
24.458333333333332,-22.96833409944952
24.5,-22.777023823723795
24.541666666666668,-22.451546456003882
24.583333333333332,-21.99112991717712
24.625,-20.964443027759756
24.666666666666668,-20.504979475963097
24.708333333333332,-19.85900929443892
24.75,-19.214747149679397
24.791666666666668,-17.83861716699718
24.833333333333332,-17.10272896905238
24.875,-16.283361534175697
24.916666666666668,-15.547376742435347
24.958333333333332,-13.755039445994896
25.0,-12.842754043944439
25.041666666666668,-11.650299437537655
25.083333333333332,-10.628547993686254
25.125,-8.437590168733777
25.166666666666668,-7.394008642598266
25.208333333333332,-6.1000599603216585
25.25,-4.93208742826485
25.291666666666668,-2.6091418739813435
25.333333333333332,-1.4502162909334402
25.375,-0.2901027336281743
25.416666666666668,1.017838237296692
25.458333333333332,3.3493676509556667
25.5,4.812023169210492
25.541666666666668,5.841140257315232
25.583333333333332,6.87173700308318
25.625,9.246112745563252
25.666666666666668,10.13494616071458
25.708333333333332,11.309932474020213
25.75,12.258546602657374
25.791666666666668,14.21395933570231
25.833333333333332,15.139317824216596
25.875,16.06640053519666
25.916666666666668,16.713335669890785
25.958333333333332,18.248924218414484
26.0,18.713984504103564
26.041666666666668,19.366505420999495
26.083333333333332,19.882211570917022
26.125,20.815065966367314
26.166666666666668,21.227651188635292
26.208333333333332,21.555389044330404
26.25,21.828693188819592
26.291666666666668,22.156262087671774
26.333333333333332,22.34810834790941
26.375,22.484120018577215
26.416666666666668,22.484120018577215
26.458333333333332,22.34810834790941
26.5,22.292270409468735
26.541666666666668,22.10095693521613
26.583333333333332,21.96495551081471
26.625,21.174506374741092
26.666666666666668,20.847930093894725
26.708333333333332,20.384295795418723
26.75,19.920405978409757
26.791666666666668,18.80579011375007
26.833333333333332,18.202983371623805
26.875,17.554969669160457
26.916666666666668,16.95189424544694
26.958333333333332,15.242292247146437
27.0,14.461173473031645
27.041666666666668,13.752075781774245
27.083333333333332,12.544687913709703
27.125,10.736420302415087
27.166666666666668,9.847013226445982
27.208333333333332,8.668269427149314
27.25,7.778345035907245
27.291666666666668,6.598715787349944
27.333333333333332,4.241792423113818
27.375,3.2204078606105693
27.416666666666668,2.05063525219266
27.458333333333332,0.7307738854087087
27.5,-1.4650458300925493
27.541666666666668,-2.6357964096270052
27.583333333333332,-3.6677880555314175
27.625,-4.8489576150331
27.666666666666668,-6.906817037482199
27.708333333333332,-8.088643765506617
27.75,-9.003192511977062
27.791666666666668,-10.016469322717654
27.833333333333332,-11.828171622918376
27.875,-12.862751018958221
27.916666666666668,-13.752075781774238
27.958333333333332,-14.392334467392175
28.0,-15.844982790418555
28.041666666666668,-16.48875370589127
28.083333333333332,-17.135105559793374
28.125,-17.69449532031885
28.166666666666668,-18.805790113750078
28.208333333333332,-19.130814762430816
28.25,-19.407540415375877
28.291666666666668,-19.782289716125092
28.333333333333332,-20.195914862014746
28.375,-20.521726098492763
28.416666666666668,-20.470452544215192
28.458333333333332,-20.521726098492763
28.5,-20.658910063307502
28.541666666666668,-20.658910063307502
28.583333333333332,-20.470452544215192
28.625,-20.14545245483913
28.666666666666668,-19.8208666737342
28.708333333333332,-19.496715202082044
28.75,-19.221040134870037
28.791666666666668,-18.897001544352776
28.833333333333332,-17.833804511073993
28.875,-17.327921777241244
28.916666666666668,-16.72720021104476
28.958333333333332,-16.125886033896336
29.0,-14.780763051677951
29.041666666666668,-14.036243467926482
29.083333333333332,-13.433152273545943
29.125,-12.512967018509187
29.166666666666668,-10.736420302415098
29.208333333333332,-9.847013226445995
29.25,-8.934707507584704
29.291666666666668,-7.9232592833786555
29.333333333333332,-5.856013585428968
29.375,-4.8489576150331
29.416666666666668,-3.6677880555314175
29.458333333333332,-2.7820055372521324
29.5,-0.5876284162399656
29.541666666666668,0.5876284162399621
29.583333333333332,1.6156064768869636
29.625,2.649328803190424
29.666666666666668,4.702688756791526
29.708333333333332,5.885987833028267
29.75,6.778547048556633
29.791666666666668,7.818150194294703
29.833333333333332,9.582944723532572
29.875,10.502190508749948
29.916666666666668,11.396438366285707
29.958333333333332,12.146097367494603
30.0,13.822054635731693
30.041666666666668,14.428918674728369
30.083333333333332,15.03569462333468
30.125,15.682015459904118
30.166666666666668,16.854135371696362
30.208333333333332,17.31893843151474
30.25,17.783888442692525
30.291666666666668,18.109143677728174
30.333333333333332,18.761284152175815
30.375,19.03999955079288
30.416666666666668,19.227435508848558
30.458333333333332,19.317782283590304
30.5,19.64393353864299
30.541666666666668,19.64393353864299
30.583333333333332,19.456321291499084
30.625,19.456321291499084
30.666666666666668,18.944437070892324
30.708333333333332,18.758650347842234
30.75,18.34223728650309
30.791666666666668,18.15726547437932
30.833333333333332,17.231821757397046
30.875,16.909271810540783
30.916666666666668,16.44727321453771
30.958333333333332,15.704236555440668
31.0,14.78076305167794
31.041666666666668,14.000853861856823
31.083333333333332,13.433152273545947
31.125,12.544687913709703
31.166666666666668,10.880007230059912
31.208333333333332,10.278719804132262
31.25,9.41417450548248
31.291666666666668,8.523525809694387
31.333333333333332,6.598715787349944
31.375,5.579314850012911
31.416666666666668,4.690684455734844
31.458333333333332,3.8140748342903543
31.5,1.7623910236605125
31.541666666666668,0.7345210342548154
31.583333333333332,-0.2930704850263339
31.625,-1.1751332372393506
31.666666666666668,-3.2286478696356085
31.708333333333332,-4.117017459794056
31.75,-5.141303489938281
31.791666666666668,-6.047537074425094
31.833333333333332,-7.94347181059041
31.875,-8.857958763628346
31.916666666666668,-9.727578551401592
31.958333333333332,-10.331104844339677
32.0,-12.401695816721315
32.041666666666664,-13.148283265077964
32.083333333333336,-13.752075781774238
32.125,-14.497723658097925
32.166666666666664,-14.818147250880799
32.208333333333336,-15.42216131873866
32.25,-15.844982790418555
32.291666666666664,-16.166536407963406
32.333333333333336,-16.909271810540787
32.375,-17.188581355840114
32.416666666666664,-17.371468928464935
32.458333333333336,-17.65012421993012
32.5,-17.833804511073993
32.541666666666664,-17.833804511073993
32.583333333333336,-17.972896101491244
32.625,-17.972896101491244
32.666666666666664,-17.55496966916047
32.708333333333336,-17.510903470149316
32.75,-17.231821757397057
32.791666666666664,-17.04903097210982
32.833333333333336,-16.348171547351257
32.875,-16.02586744844976
32.916666666666664,-15.563295629896288
32.958333333333336,-15.280834939891548
33.0,-14.355931418581747
33.041666666666664,-13.609731895812189
33.083333333333336,-13.148283265077964
33.125,-12.370313564287102
33.166666666666664,-11.051457026665446
33.208333333333336,-10.304846468766044
33.25,-9.558577101954995
33.291666666666664,-8.668269427149312
33.333333333333336,-7.052306007841196
33.375,-6.178064902128341
33.416666666666664,-5.273895957351755
33.458333333333336,-4.398705354995542
33.5,-2.6425452940647176
33.541666666666664,-1.615606476886967
33.583333333333336,-0.7307738854086949
33.625,0.14616238577947704
33.666666666666664,2.0454084888872277
33.708333333333336,3.0743131498107084
33.75,3.9603118304583846
33.791666666666664,4.836583445735302
33.833333333333336,6.74401773107743
33.875,7.4882176931769555
33.916666666666664,8.191954557023294
33.958333333333336,9.101824996754447
34.0,10.565873271131503
34.041666666666664,11.166764907137159
34.083333333333336,11.798155369845714
34.125,12.370313564287114
34.166666666666664,13.433152273545947
34.208333333333336,14.178064414706903
34.25,14.534455080540122
34.291666666666664,14.922007459136411
34.333333333333336,15.42216131873867
34.375,16.166536407963395
34.416666666666664,16.34817154735125
34.458333333333336,16.67113050734258
34.5,16.81161629783154
34.541666666666664,17.27527361443844
34.583333333333336,17.091963133118742
34.625,17.091963133118742
34.666666666666664,16.95189424544694
34.708333333333336,16.67113050734258
34.75,16.488753705891256
34.791666666666664,16.34817154735125
34.833333333333336,16.06640053519666
34.875,15.28083493989155
34.916666666666664,14.818147250880806
34.958333333333336,14.355931418581749
35.0,13.894246783393356
35.041666666666664,12.687521373869984
35.083333333333336,12.258546602657374
35.125,11.511171213295185
35.166666666666664,10.9076617954981
35.208333333333336,9.558577101954992
35.25,8.835373213449493
35.291666666666664,8.088643765506612
35.333333333333336,7.343008117006824
35.375,5.870962585027932
35.416666666666664,5.128191041852838
35.458333333333336,4.106497165170428
35.5,3.2204078606105693
35.541666666666664,1.611476672524549
35.583333333333336,0.73264266886477
